post_4,arsenal,astonvilla,chelsea,everton,fulham,liverpool,manchestercity,manchesterunited,newcastleunited,norwichcity,queensparkrangers,random,reading,southampton,stokecity,sunderland,swanseacity,tottenhamhotspur,westbromwichalbion,westhamunited,wiganathletic
EH2,1,0,1,3,0,1,1,1,0,0,1,49,0,0,0,0,0,0,1,0,0
EH20,0,0,0,1,0,1,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0
EH21,0,0,0,1,0,1,4,0,1,0,1,36,0,0,0,0,0,1,1,1,0
EH22,0,0,2,3,0,4,2,2,1,0,0,36,0,0,0,0,0,0,1,1,0
EH23,2,0,1,1,0,1,1,3,1,0,1,17,0,0,0,0,0,0,0,2,0
EH24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EH25,0,0,1,1,0,0,1,1,1,0,0,7,0,0,0,0,0,0,0,0,0
EH26,1,0,0,2,0,2,4,2,0,0,0,21,0,0,0,0,0,2,0,2,0
EH27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EH28,1,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
EH29,0,1,0,2,0,1,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0
EH3,4,0,0,5,0,1,2,4,2,0,0,60,0,0,0,0,0,1,1,1,0
EH30,0,0,1,1,0,0,2,0,0,0,0,12,0,0,0,0,0,1,0,0,0
EH31,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
EH32,0,0,2,2,0,0,4,1,0,1,0,27,0,0,0,0,1,0,0,1,0
EH33,0,0,1,2,0,2,0,0,1,0,0,17,0,0,0,0,0,2,2,0,0
EH34,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
EH35,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0
EH36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EH37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EH38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EH39,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0
EH4,2,0,0,5,0,4,3,1,2,0,1,63,0,0,0,0,0,2,2,2,0
EH40,0,0,0,3,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
EH41,0,1,1,3,0,1,3,1,1,1,2,26,0,1,0,0,0,0,0,3,0
EH42,0,0,0,3,0,0,1,1,0,0,0,10,0,0,0,0,0,0,0,0,0
EH43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EH44,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EH45,0,0,0,1,0,0,1,1,0,0,0,7,0,0,1,0,0,0,0,3,0
EH46,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
